title,textDisplay,parentId,authorChannelId,authorDisplayName,likeCount,publishedAt
ITZY - 'WANNABE' [ENGLISH VERSION] Lyrics [Color Coded_Eng],"I think most Kpop songs' English versions are more straightforward, like u can barely see any metaphors or slangs or indirect lyrics like originally English songs. And some parts just sound so awkward, the number of syllables in the translated lines didn't match up that resulted to some rushed words or some just have some pauses to fill out the missing syllables. And some lyrics or terms just sound so cringe for a song",UgzASpQyT3mx6LJbdWB4AaABAg,UCqqQ3_CPqC1vIQx6sGnfWcw,Sung Jin-Woo,4569,2021-01-22T05:21:17Z
ITZY - 'WANNABE' [ENGLISH VERSION] Lyrics [Color Coded_Eng],It sounds amazing but also formal if that makes sense,UgzASpQyT3mx6LJbdWB4AaABAg,UCwJoQJJNtvtqc-14mxbTgLQ,wywycat,683,2021-01-22T05:25:45Z
ITZY - 'WANNABE' [ENGLISH VERSION] Lyrics [Color Coded_Eng],fact,UgzASpQyT3mx6LJbdWB4AaABAg,UCCIDbE9gHOxeMn0xPJauOdQ,Si_ Multifandom _ch_,44,2021-01-22T05:52:13Z
ITZY - 'WANNABE' [ENGLISH VERSION] Lyrics [Color Coded_Eng],Well I’m pretty sure the girls wouldn’t even understand them if it was like tht,UgzASpQyT3mx6LJbdWB4AaABAg,UCa7g28Ehr3Q0cmGMRQBNgtw,lilhonni,156,2021-01-22T08:33:24Z
ITZY - 'WANNABE' [ENGLISH VERSION] Lyrics [Color Coded_Eng],"Right, it’s like it sounds good if you don’t think about it too hard. All the English versions are a bit weird but tolerable.",UgzASpQyT3mx6LJbdWB4AaABAg,UC7OFaVh8Upu04kJKr34xSDA,Alexis Pinnock-Manoban 알렉시스,385,2021-01-22T13:23:03Z
ITZY - 'WANNABE' [ENGLISH VERSION] Lyrics [Color Coded_Eng],It still sounds pretty good though. What I hope will happen is that the English album does well enough that they&#39;re given songs written in English for future singles/albums. Dynamite was a big hit and Itzy&#39;s just going to continue growing in popularity so it seems like a good direction to take.,UgzASpQyT3mx6LJbdWB4AaABAg,UCWoBpXxjDyeosAhg0DJT7Yg,Znapaznarf,230,2021-01-22T17:52:47Z
ITZY - 'WANNABE' [ENGLISH VERSION] Lyrics [Color Coded_Eng],I&#39;ve always liked the korean versions more but this sounds pretty good,UgzASpQyT3mx6LJbdWB4AaABAg,UCXvI7evTbbCswAfoa4grCJQ,jiminasaranghae,142,2021-01-22T18:03:15Z
ITZY - 'WANNABE' [ENGLISH VERSION] Lyrics [Color Coded_Eng],You are so right. The eng versions of kpop songs always sound so clunky tbh,UgzASpQyT3mx6LJbdWB4AaABAg,UC3rBcDEO5sjT5BDs2ouuhSQ,Salma,59,2021-01-22T23:01:00Z
ITZY - 'WANNABE' [ENGLISH VERSION] Lyrics [Color Coded_Eng],"I think the main idea here was to connect the global fans with their concept message, not really make their English songs a hit. And these versions made it really clear. They kinda said that on their live.",UgzASpQyT3mx6LJbdWB4AaABAg,UCGlpif5B7eGcfBRuTWpE8Lw,Liviahel,192,2021-01-22T23:17:39Z
ITZY - 'WANNABE' [ENGLISH VERSION] Lyrics [Color Coded_Eng],@Liviahel Yes,UgzASpQyT3mx6LJbdWB4AaABAg,UChaSHJ1M0OHt48YlP7tTnTg,i stan jype groups including jay-why-papi,10,2021-01-23T01:21:39Z
